perimetre,modele,kpi,unite,horizon_min,mae,rmse,mape,smape,biais,n,gain_mae_vs_persistance_pct
test_complet,xgboost,latency,ms,30,1.1811,4.0739,6.2286,6.4728,-0.331,19820,24.79
test_complet,xgboost,jitter,ms,5,0.2504,0.4181,5.7487,5.6902,-0.0022,19820,8.78
test_complet,xgboost,jitter,ms,15,0.2599,0.5307,5.834,5.785,-0.0067,19820,9.92
test_complet,xgboost,jitter,ms,30,0.2603,0.5737,5.7786,5.7793,-0.014,19820,15.69
test_complet,xgboost,packet_loss,%,5,0.1924,1.3684,143947.3772,28.4447,-0.021,19820,15.88
test_complet,xgboost,packet_loss,%,15,0.1931,1.3807,147648.0466,28.6321,-0.0267,19820,18.05
test_complet,xgboost,packet_loss,%,30,0.1944,1.3818,148741.5623,28.7012,-0.0284,19820,19.22
test_complet,xgboost,cell_load,%,5,3.8207,4.8466,7.0451,6.8905,0.1067,19820,8.48
test_complet,xgboost,cell_load,%,15,3.8297,4.8712,7.0408,6.8886,0.0991,19820,12.55
test_complet,xgboost,cell_load,%,30,3.8502,4.9039,7.062,6.9023,0.0976,19820,22.75
